Characteristic,Outcome,Group A,N_A,Mean_A,Group B,N_B,Mean_B,Diff (A−B),t,p,Significant (p<0.05),q (BH-FDR),Significant (FDR<0.05)
# meds,% adherent (≥80%),2 meds,6412,25.97,4 meds,2679,27.03,-1.06,-1.039,0.2987,False,0.3959,False
# meds,Adherence ratio (%),2 meds,6412,60.86,5+ meds,4144,65.9,-5.04,-11.506,0.0,True,0.0,True
# meds,% adherent (≥80%),2 meds,6412,25.97,5+ meds,4144,26.33,-0.36,-0.411,0.681,False,0.7618,False
# meds,Adherence ratio (%),3 meds,4271,62.92,4 meds,2679,64.62,-1.7,-3.121,0.0018,True,0.0039,True
# meds,% adherent (≥80%),3 meds,4271,26.46,4 meds,2679,27.03,-0.57,-0.52,0.6032,False,0.6984,False
# meds,Adherence ratio (%),3 meds,4271,62.92,5+ meds,4144,65.9,-2.98,-6.435,0.0,True,0.0,True
# meds,% adherent (≥80%),3 meds,4271,26.46,5+ meds,4144,26.33,0.13,0.136,0.8922,False,0.9317,False
# meds,Adherence ratio (%),4 meds,2679,64.62,5+ meds,4144,65.9,-1.29,-2.531,0.0114,True,0.0213,True
# meds,% adherent (≥80%),4 meds,2679,27.03,5+ meds,4144,26.33,0.7,0.636,0.5249,False,0.6322,False
# conditions,Adherence ratio (%),1 condition,13633,57.09,All other person-years,15058,63.4,-6.31,-19.647,0.0,True,0.0,True
# conditions,% adherent (≥80%),1 condition,13633,28.15,All other person-years,15058,26.48,1.67,3.165,0.0016,True,0.0035,True
# conditions,Adherence ratio (%),2 conditions,7548,61.43,All other person-years,21143,60.04,1.39,4.057,0.0,True,0.0,True
# conditions,% adherent (≥80%),2 conditions,7548,25.6,All other person-years,21143,27.88,-2.28,-3.869,0.0001,True,0.0003,True
# conditions,Adherence ratio (%),3 conditions,4161,65.01,All other person-years,24530,59.62,5.39,14.043,0.0,True,0.0,True
# conditions,% adherent (≥80%),3 conditions,4161,28.33,All other person-years,24530,27.1,1.24,1.641,0.101,False,0.1495,False
# conditions,Adherence ratio (%),4+ conditions,3349,65.86,All other person-years,25342,59.68,6.17,16.397,0.0,True,0.0,True
# conditions,% adherent (≥80%),4+ conditions,3349,26.19,All other person-years,25342,27.42,-1.23,-1.524,0.1277,False,0.1848,False
# conditions,Adherence ratio (%),1 condition,13633,57.09,2 conditions,7548,61.43,-4.33,-11.24,0.0,True,0.0,True
# conditions,% adherent (≥80%),1 condition,13633,28.15,2 conditions,7548,25.6,2.56,4.038,0.0001,True,0.0003,True
# conditions,Adherence ratio (%),1 condition,13633,57.09,3 conditions,4161,65.01,-7.92,-18.439,0.0,True,0.0,True
# conditions,% adherent (≥80%),1 condition,13633,28.15,3 conditions,4161,28.33,-0.18,-0.228,0.8193,False,0.8722,False
# conditions,Adherence ratio (%),1 condition,13633,57.09,4+ conditions,3349,65.86,-8.76,-20.675,0.0,True,0.0,True
# conditions,% adherent (≥80%),1 condition,13633,28.15,4+ conditions,3349,26.19,1.97,2.307,0.0211,True,0.0359,True
# conditions,Adherence ratio (%),2 conditions,7548,61.43,3 conditions,4161,65.01,-3.59,-8.094,0.0,True,0.0,True
# conditions,% adherent (≥80%),2 conditions,7548,25.6,3 conditions,4161,28.33,-2.74,-3.182,0.0015,True,0.0033,True
# conditions,Adherence ratio (%),2 conditions,7548,61.43,4+ conditions,3349,65.86,-4.43,-10.124,0.0,True,0.0,True
# conditions,% adherent (≥80%),2 conditions,7548,25.6,4+ conditions,3349,26.19,-0.59,-0.649,0.5167,False,0.6269,False
# conditions,Adherence ratio (%),3 conditions,4161,65.01,4+ conditions,3349,65.86,-0.84,-1.77,0.0768,False,0.1157,False
# conditions,% adherent (≥80%),3 conditions,4161,28.33,4+ conditions,3349,26.19,2.15,2.081,0.0375,True,0.061,False
Dosing frequency,Adherence ratio (%),1x_daily,13263,60.25,All other person-years,15416,60.55,-0.3,-0.937,0.3487,False,0.4548,False
Dosing frequency,% adherent (≥80%),1x_daily,13263,27.9,All other person-years,15416,26.74,1.17,2.209,0.0272,True,0.0451,True
Dosing frequency,Adherence ratio (%),2x_daily,13143,61.15,All other person-years,15536,59.78,1.37,4.321,0.0,True,0.0,True
Dosing frequency,% adherent (≥80%),2x_daily,13143,26.62,All other person-years,15536,27.83,-1.21,-2.294,0.0218,True,0.0369,True
Dosing frequency,Adherence ratio (%),3x_daily,1837,57.77,All other person-years,26842,60.59,-2.82,-4.073,0.0,True,0.0,True
Dosing frequency,% adherent (≥80%),3x_daily,1837,27.87,All other person-years,26842,27.24,0.63,0.587,0.5574,False,0.6593,False
Dosing frequency,Adherence ratio (%),4x_plus,436,54.04,All other person-years,28243,60.51,-6.47,-4.339,0.0,True,0.0,True
Dosing frequency,% adherent (≥80%),4x_plus,436,25.46,All other person-years,28243,27.31,-1.85,-0.877,0.3808,False,0.4833,False
Dosing frequency,Adherence ratio (%),1x_daily,13263,60.25,2x_daily,13143,61.15,-0.9,-2.749,0.006,True,0.0117,True
Dosing frequency,% adherent (≥80%),1x_daily,13263,27.9,2x_daily,13143,26.62,1.28,2.34,0.0193,True,0.0333,True
Dosing frequency,Adherence ratio (%),1x_daily,13263,60.25,3x_daily,1837,57.77,2.47,3.468,0.0005,True,0.0012,True
Dosing frequency,% adherent (≥80%),1x_daily,13263,27.9,3x_daily,1837,27.87,0.03,0.03,0.9763,False,0.9823,False
Dosing frequency,Adherence ratio (%),1x_daily,13263,60.25,4x_plus,436,54.04,6.21,4.135,0.0,True,0.0,True
Dosing frequency,% adherent (≥80%),1x_daily,13263,27.9,4x_plus,436,25.46,2.45,1.151,0.2502,False,0.3426,False
Dosing frequency,Adherence ratio (%),2x_daily,13143,61.15,3x_daily,1837,57.77,3.38,4.77,0.0,True,0.0,True
Dosing frequency,% adherent (≥80%),2x_daily,13143,26.62,3x_daily,1837,27.87,-1.25,-1.12,0.2628,False,0.354,False
Dosing frequency,Adherence ratio (%),2x_daily,13143,61.15,4x_plus,436,54.04,7.11,4.745,0.0,True,0.0,True
Dosing frequency,% adherent (≥80%),2x_daily,13143,26.62,4x_plus,436,25.46,1.16,0.548,0.584,False,0.6786,False
Dosing frequency,Adherence ratio (%),3x_daily,1837,57.77,4x_plus,436,54.04,3.73,2.295,0.0221,True,0.0372,True
Dosing frequency,% adherent (≥80%),3x_daily,1837,27.87,4x_plus,436,25.46,2.41,1.033,0.3021,False,0.3988,False
Dose quartile,Adherence ratio (%),Q1 (lowest),7058,60.22,All other person-years,21167,60.66,-0.44,-1.14,0.2543,False,0.3468,False
Dose quartile,% adherent (≥80%),Q1 (lowest),7058,28.63,All other person-years,21167,26.91,1.72,2.788,0.0053,True,0.0105,True
Dose quartile,Adherence ratio (%),Q2,7061,60.54,All other person-years,21164,60.56,-0.02,-0.05,0.9597,False,0.9715,False
Dose quartile,% adherent (≥80%),Q2,7061,27.02,All other person-years,21164,27.45,-0.43,-0.697,0.4859,False,0.6028,False
Dose quartile,Adherence ratio (%),Q3,7050,61.07,All other person-years,21175,60.38,0.69,1.931,0.0535,False,0.0837,False
Dose quartile,% adherent (≥80%),Q3,7050,26.71,All other person-years,21175,27.55,-0.84,-1.381,0.1674,False,0.2371,False
Dose quartile,Adherence ratio (%),Q4 (highest),7056,60.37,All other person-years,21169,60.61,-0.24,-0.649,0.5164,False,0.6269,False
Dose quartile,% adherent (≥80%),Q4 (highest),7056,27.0,All other person-years,21169,27.46,-0.46,-0.748,0.4546,False,0.5704,False
Dose quartile,Adherence ratio (%),Q1 (lowest),7058,60.22,Q2,7061,60.54,-0.31,-0.676,0.4992,False,0.6138,False
Dose quartile,% adherent (≥80%),Q1 (lowest),7058,28.63,Q2,7061,27.02,1.61,2.138,0.0325,True,0.0534,False
Dose quartile,Adherence ratio (%),Q1 (lowest),7058,60.22,Q3,7050,61.07,-0.85,-1.861,0.0628,False,0.0973,False
Dose quartile,% adherent (≥80%),Q1 (lowest),7058,28.63,Q3,7050,26.71,1.92,2.556,0.0106,True,0.0201,True
Dose quartile,Adherence ratio (%),Q1 (lowest),7058,60.22,Q4 (highest),7056,60.37,-0.15,-0.319,0.7494,False,0.8162,False
Dose quartile,% adherent (≥80%),Q1 (lowest),7058,28.63,Q4 (highest),7056,27.0,1.64,2.169,0.0301,True,0.0497,True
Dose quartile,Adherence ratio (%),Q2,7061,60.54,Q3,7050,61.07,-0.53,-1.209,0.2265,False,0.3114,False
Dose quartile,% adherent (≥80%),Q2,7061,27.02,Q3,7050,26.71,0.31,0.419,0.6755,False,0.7608,False
Dose quartile,Adherence ratio (%),Q2,7061,60.54,Q4 (highest),7056,60.37,0.17,0.367,0.7135,False,0.7875,False
Dose quartile,% adherent (≥80%),Q2,7061,27.02,Q4 (highest),7056,27.0,0.02,0.031,0.9751,False,0.9823,False
Dose quartile,Adherence ratio (%),Q3,7050,61.07,Q4 (highest),7056,60.37,0.7,1.584,0.1133,False,0.1654,False
Dose quartile,% adherent (≥80%),Q3,7050,26.71,Q4 (highest),7056,27.0,-0.29,-0.387,0.6985,False,0.7761,False
Region,Adherence ratio (%),Northeast,4001,61.34,All other person-years,24690,60.25,1.08,2.333,0.0197,True,0.0337,True
Region,% adherent (≥80%),Northeast,4001,28.99,All other person-years,24690,27.0,1.99,2.586,0.0097,True,0.0185,True
Region,Adherence ratio (%),Midwest,6588,63.22,All other person-years,22103,59.57,3.65,9.812,0.0,True,0.0,True
Region,% adherent (≥80%),Midwest,6588,30.4,All other person-years,22103,26.34,4.06,6.346,0.0,True,0.0,True
Region,Adherence ratio (%),South,11012,58.76,All other person-years,17679,61.43,-2.66,-8.138,0.0,True,0.0,True
Region,% adherent (≥80%),South,11012,25.09,All other person-years,17679,28.64,-3.55,-6.63,0.0,True,0.0,True
Region,Adherence ratio (%),West,7090,59.81,All other person-years,21601,60.6,-0.79,-2.132,0.033,True,0.0539,False
Region,% adherent (≥80%),West,7090,26.8,All other person-years,21601,27.43,-0.64,-1.047,0.2953,False,0.3929,False
Region,Adherence ratio (%),Northeast,4001,61.34,Midwest,6588,63.22,-1.88,-3.484,0.0005,True,0.0012,True
Region,% adherent (≥80%),Northeast,4001,28.99,Midwest,6588,30.4,-1.41,-1.543,0.1228,False,0.1785,False
Region,Adherence ratio (%),Northeast,4001,61.34,South,11012,58.76,2.57,5.12,0.0,True,0.0,True
Region,% adherent (≥80%),Northeast,4001,28.99,South,11012,25.09,3.9,4.713,0.0,True,0.0,True
Region,Adherence ratio (%),Northeast,4001,61.34,West,7090,59.81,1.53,2.834,0.0046,True,0.0091,True
Region,% adherent (≥80%),Northeast,4001,28.99,West,7090,26.8,2.19,2.467,0.0137,True,0.0253,True
Region,Adherence ratio (%),Midwest,6588,63.22,South,11012,58.76,4.45,10.764,0.0,True,0.0,True
Region,% adherent (≥80%),Midwest,6588,30.4,South,11012,25.09,5.31,7.575,0.0,True,0.0,True
Region,Adherence ratio (%),Midwest,6588,63.22,West,7090,59.81,3.41,7.448,0.0,True,0.0,True
Region,% adherent (≥80%),Midwest,6588,30.4,West,7090,26.8,3.61,4.663,0.0,True,0.0,True
Region,Adherence ratio (%),South,11012,58.76,West,7090,59.81,-1.04,-2.531,0.0114,True,0.0213,True
Region,% adherent (≥80%),South,11012,25.09,West,7090,26.8,-1.71,-2.553,0.0107,True,0.0202,True
Survey year,Adherence ratio (%),2020,7718,61.61,All other person-years,20973,59.96,1.65,4.569,0.0,True,0.0,True
Survey year,% adherent (≥80%),2020,7718,29.49,All other person-years,20973,26.46,3.03,5.029,0.0,True,0.0,True
Survey year,Adherence ratio (%),2021,8377,60.32,All other person-years,20314,60.44,-0.12,-0.345,0.73,False,0.7977,False
Survey year,% adherent (≥80%),2021,8377,26.58,All other person-years,20314,27.56,-0.98,-1.698,0.0895,False,0.133,False
Survey year,Adherence ratio (%),2022,6770,60.17,All other person-years,21921,60.48,-0.31,-0.831,0.4058,False,0.5111,False
Survey year,% adherent (≥80%),2022,6770,27.24,All other person-years,21921,27.29,-0.05,-0.083,0.9342,False,0.9515,False
Survey year,Adherence ratio (%),2023,5826,59.21,All other person-years,22865,60.71,-1.5,-3.819,0.0001,True,0.0003,True
Survey year,% adherent (≥80%),2023,5826,25.39,All other person-years,22865,27.76,-2.37,-3.692,0.0002,True,0.0005,True
Survey year,Adherence ratio (%),2020,7718,61.61,2021,8377,60.32,1.29,3.033,0.0024,True,0.0051,True
Survey year,% adherent (≥80%),2020,7718,29.49,2021,8377,26.58,2.9,4.098,0.0,True,0.0,True
Survey year,Adherence ratio (%),2020,7718,61.61,2022,6770,60.17,1.45,3.198,0.0014,True,0.0031,True
Survey year,% adherent (≥80%),2020,7718,29.49,2022,6770,27.24,2.25,3.003,0.0027,True,0.0057,True
Survey year,Adherence ratio (%),2020,7718,61.61,2023,5826,59.21,2.41,5.135,0.0,True,0.0,True
Survey year,% adherent (≥80%),2020,7718,29.49,2023,5826,25.39,4.1,5.321,0.0,True,0.0,True
Survey year,Adherence ratio (%),2021,8377,60.32,2022,6770,60.17,0.15,0.349,0.7268,False,0.7968,False
Survey year,% adherent (≥80%),2021,8377,26.58,2022,6770,27.24,-0.65,-0.901,0.3678,False,0.4704,False
Survey year,Adherence ratio (%),2021,8377,60.32,2023,5826,59.21,1.11,2.439,0.0147,True,0.0268,True
Survey year,% adherent (≥80%),2021,8377,26.58,2023,5826,25.39,1.2,1.604,0.1087,False,0.1601,False
Survey year,Adherence ratio (%),2022,6770,60.17,2023,5826,59.21,0.96,1.996,0.0459,True,0.0725,False
Survey year,% adherent (≥80%),2022,6770,27.24,2023,5826,25.39,1.85,2.355,0.0185,True,0.0325,True
