Characteristic,Outcome,Group A,N_A,Mean_A,Group B,N_B,Mean_B,Diff (A−B),t,p,Significant (p<0.05),q (BH-FDR),Significant (FDR<0.05)
Race,% adherent (≥80%),Black only,3923,22.36,Other / multiple,851,25.26,-2.91,-1.782,0.0749,False,0.1139,False
Race,Adherence ratio (%),Asian only,906,61.22,Other / multiple,851,57.49,3.74,2.858,0.0043,True,0.0087,True
Race,% adherent (≥80%),Asian only,906,28.15,Other / multiple,851,25.26,2.88,1.365,0.1724,False,0.2421,False
Marital status,Adherence ratio (%),Married,13665,61.31,All other person-years,14170,60.38,0.92,2.879,0.004,True,0.0081,True
Marital status,% adherent (≥80%),Married,13665,28.22,All other person-years,14170,26.97,1.25,2.337,0.0194,True,0.0333,True
Marital status,Adherence ratio (%),Widowed,3759,62.6,All other person-years,24076,60.56,2.04,4.547,0.0,True,0.0,True
Marital status,% adherent (≥80%),Widowed,3759,28.04,All other person-years,24076,27.51,0.53,0.674,0.5003,False,0.6138,False
Marital status,Adherence ratio (%),Divorced,5092,61.62,All other person-years,22743,60.66,0.96,2.368,0.0179,True,0.0318,True
Marital status,% adherent (≥80%),Divorced,5092,27.85,All other person-years,22743,27.52,0.33,0.471,0.6377,False,0.7307,False
Marital status,Adherence ratio (%),Separated,738,60.41,All other person-years,27097,60.85,-0.43,-0.422,0.673,False,0.7606,False
Marital status,% adherent (≥80%),Separated,738,28.05,All other person-years,27097,27.57,0.48,0.287,0.7742,False,0.8322,False
Marital status,Adherence ratio (%),Never married,4581,57.17,All other person-years,23254,61.56,-4.38,-9.742,0.0,True,0.0,True
Marital status,% adherent (≥80%),Never married,4581,24.93,All other person-years,23254,28.1,-3.17,-4.509,0.0,True,0.0,True
Marital status,Adherence ratio (%),Married,13665,61.31,Widowed,3759,62.6,-1.3,-2.74,0.0062,True,0.012,True
Marital status,% adherent (≥80%),Married,13665,28.22,Widowed,3759,28.04,0.18,0.216,0.8291,False,0.8798,False
Marital status,Adherence ratio (%),Married,13665,61.31,Divorced,5092,61.62,-0.32,-0.735,0.4623,False,0.5757,False
Marital status,% adherent (≥80%),Married,13665,28.22,Divorced,5092,27.85,0.37,0.503,0.6151,False,0.7082,False
Marital status,Adherence ratio (%),Married,13665,61.31,Separated,738,60.41,0.89,0.859,0.3904,False,0.4936,False
Marital status,% adherent (≥80%),Married,13665,28.22,Separated,738,28.05,0.17,0.1,0.9207,False,0.9407,False
Marital status,Adherence ratio (%),Married,13665,61.31,Never married,4581,57.17,4.13,8.715,0.0,True,0.0,True
Marital status,% adherent (≥80%),Married,13665,28.22,Never married,4581,24.93,3.29,4.408,0.0,True,0.0,True
Marital status,Adherence ratio (%),Widowed,3759,62.6,Divorced,5092,61.62,0.98,1.773,0.0762,False,0.1153,False
Marital status,% adherent (≥80%),Widowed,3759,28.04,Divorced,5092,27.85,0.19,0.199,0.8425,False,0.8888,False
Marital status,Adherence ratio (%),Widowed,3759,62.6,Separated,738,60.41,2.19,2.002,0.0455,True,0.0722,False
Marital status,% adherent (≥80%),Widowed,3759,28.04,Separated,738,28.05,-0.01,-0.005,0.9959,False,0.9959,False
Marital status,Adherence ratio (%),Widowed,3759,62.6,Never married,4581,57.17,5.43,9.255,0.0,True,0.0,True
Marital status,% adherent (≥80%),Widowed,3759,28.04,Never married,4581,24.93,3.11,3.199,0.0014,True,0.0031,True
Marital status,Adherence ratio (%),Divorced,5092,61.62,Separated,738,60.41,1.21,1.124,0.2615,False,0.3537,False
Marital status,% adherent (≥80%),Divorced,5092,27.85,Separated,738,28.05,-0.2,-0.114,0.9095,False,0.9379,False
Marital status,Adherence ratio (%),Divorced,5092,61.62,Never married,4581,57.17,4.45,8.041,0.0,True,0.0,True
Marital status,% adherent (≥80%),Divorced,5092,27.85,Never married,4581,24.93,2.92,3.256,0.0011,True,0.0025,True
Marital status,Adherence ratio (%),Separated,738,60.41,Never married,4581,57.17,3.24,2.963,0.0031,True,0.0064,True
Marital status,% adherent (≥80%),Separated,738,28.05,Never married,4581,24.93,3.12,1.759,0.079,False,0.1185,False
Education,Adherence ratio (%),Less than high school,5023,57.2,All other person-years,23437,61.18,-3.98,-9.273,0.0,True,0.0,True
Education,% adherent (≥80%),Less than high school,5023,24.61,All other person-years,23437,27.91,-3.3,-4.894,0.0,True,0.0,True
Education,Adherence ratio (%),High school (12 yrs),8140,61.35,All other person-years,20320,60.13,1.22,3.481,0.0005,True,0.0012,True
Education,% adherent (≥80%),High school (12 yrs),8140,27.52,All other person-years,20320,27.25,0.27,0.46,0.6453,False,0.7368,False
Education,Adherence ratio (%),Some college (13–15),6403,60.7,All other person-years,22057,60.42,0.28,0.735,0.4623,False,0.5757,False
Education,% adherent (≥80%),Some college (13–15),6403,27.05,All other person-years,22057,27.41,-0.36,-0.565,0.5723,False,0.6686,False
Education,Adherence ratio (%),College (16 yrs),5024,61.46,All other person-years,23436,60.27,1.19,2.839,0.0045,True,0.009,True
