model,threshold,resampling,n_features,n_test,roc_auc,pr_auc,accuracy,balanced_accuracy,recall_non_adherent,recall_adherent,precision_adherent,f1_adherent,note
RF (F1-tuned),80,SMOTE 0.5 + undersample 1.0,319,5731,0.5723035591832921,0.32639270978275225,0.5300994590821846,0.5432150689572239,0.5136572395455644,0.5727728983688833,0.3121367521367521,0.4040716972781589,"Step M, cached"
RF (AUC-tuned),80,SMOTE 0.5 + undersample 1.0,319,5731,0.5799300555715793,0.33291206690893105,0.5622055487698482,0.5521491185370326,0.5748126661832246,0.5294855708908407,0.32424126008451787,0.40219204193471525,Step M [cached]
XGBoost (F1-tuned),80,SMOTE 0.5 + undersample 1.0,105,5739,0.5582291716100429,0.31314912336718326,0.6062031712841959,0.529377126927534,0.6983708672735984,0.3603833865814696,0.30938014262205155,0.33293978748524206,"Step N, cached"
XGBoost (AUC-tuned),80,SMOTE 0.5 + undersample 1.0,105,5739,0.5912160476156214,0.3300017932143494,0.6569088691409654,0.5410706166731217,0.7958792525155726,0.28626198083067095,0.3446153846153846,0.31273996509598606,Step N [cached]
"XGBoost (fixed, tuned threshold)",80,SMOTE 0.5 + undersample 1.0,319,5731,0.5812323012117291,0.33404817414497423,0.5234688536032106,0.555204524217447,0.48368382886149386,0.6267252195734002,0.3186602870813397,0.4224994713470078,"Section 6, decision threshold 0.45"
XGBoost (everything + prior),80,SMOTE 0.5 + undersample 1.0,318,1992,0.632331830223414,0.3859573118324058,0.6696787148594378,0.5908569009422767,0.7611530542210021,0.4205607476635514,0.39267015706806285,0.40613718411552346,"Step Q, 2023 holdout"
XGBoost (paper-enriched + prior),80,SMOTE 0.5 + undersample 1.0,344,1992,0.6370406481119186,0.3817468347766517,0.6651606425702812,0.5942738567918974,0.7474262182566919,0.4411214953271028,0.39072847682119205,0.41439859525899914,"Step R, 2023 holdout"
