column
DUPERSID
YEAR
AGE
FAMINC
is_adherent
INSCOV_PRIVATE
INSCOV_PUBLIC
INSCOV_UNINSURED
MALE
FEMALE
WHITE
BLACK
AMER_INDIAN
ASIAN_INDIAN
CHINESE
FILIPINO
PMED_DELAY_COST
NO_PMED_DELAY_COST
CARE_DELAY_COST
NO_CARE_DELAY_COST
POV_POOR
POV_NEAR_POOR
POV_LOW
POV_MIDDLE
POV_HIGH
meps_adherence_ratio
PATIENT_COST_SHARE
n_drugs
n_conditions
MARRYXX
REGIONXX
EDUCYR
RACETHX
medication_freq
medication_dose
medication_dose_unit
medication_qty_unit
medication_freq_bin
