RXNAME
-15
12HOUR NASAL
1ML TB SYRNG
5-AMINOSALICYLATES
ABILIFY MAIN
ACCU-CHEK
ACE INHIBITORS WITH THIAZIDES
ACETAMIN
ACETAMINOPHE
ACETAMINOPHEN
ACETAMINOPHEN TAB
ACETAMINOPHEN TAB 325 MG
ACETAMINOPHEN TAB 500 MG
ACETAMINOPHN
ACID GONE
ACID REDUCER
ACIDOPHILUS
ACIDOPHILUS/
ACNE MEDICAT
ACTOS
ACYCLOVIR
ADAPALENE
ADDERALL
ADDERALL XR
ADHANSIA XR
ADMELOG SOLO
ADRENAL CORTICAL STEROIDS
ADRENERGIC BRONCHODILATORS
ADVAIR DISKU
ADVAIR HFA
AERCHMBR PLS
AERCHMBR Z-
AFRIN 12 HR
AGENTS FOR HYPERTENSIVE EMERGENCIES
ALAHIST PE
ALAVERT
ALBUTEROL
ALBUTEROL HFA
ALBUTEROL HFA INH (200 PUFFS) 18 GM
ALBUTEROL HFA INH (200 PUFFS) 8.5GM
ALBUTEROL HFA INH(200 PUFFS) 1.8 GM
ALBUTEROL SULFATE
ALBUTEROL SULFATE HFA
ALBUTEROL SULFATE INHAL AERO
ALBUTEROL SULFATE/ACTUATION
ALBUTEROL SYP
ALCOHOL
ALCOHOL PREP PAD
ALCOHOL SWABS
ALENDRONATE
ALL DAY ALLG
ALLEGRA-D
ALLERGY RELF
ALLOPURINOL
ALPHA-LIPOIC ACID
ALPHAGAN P
ALPR/PAPA/PHEN 20MCG/30MG/2MG PER 1 ML
ALPRAZOLAM
ALTAVERA
ALYACEN
AMBIEN
AMEBICIDES
AMIODARONE
AMITRIPTYLIN
AMITRIPTYLINE HCL
AMITRIPTYLINE HCL TAB
AMLOD/BENAZP
AMLODIPINE
AMLODIPINE BESYLATE
AMLODIPINE BESYLATE TAB
AMLODIPINE TAB
AMMONIUM LAC
AMNESTEEM
AMOX- CLAV
AMOX-POT CLA
AMOX/K CLAV
AMOXICILLIN
AMPHET/DEXTR
AMPHETA/DEXTRO COMBO
AMPICILLIN
ANALGESIC COMBINATIONS
ANALGESICS
ANASPAZ
ANASTROZOLE
ANDRODERM
ANDROGEL
ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS
ANGIOTENSIN II INHIBITORS
ANGIOTENSIN II INHIBITORS WITH THIAZIDES
ANORO ELLIPT
ANTACID
ANTI-DIARRHE
ANTI-INFECTIVES
ANTI-ITCH
"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
ANTIARRHYTHMIC AGENTS
ANTICHOLINERGIC ANTIEMETICS
ANTICHOLINERGIC BRONCHODILATORS
ANTICHOLINERGICS/ANTISPASMODICS
ANTICOAGULANTS
ANTICONVULSANTS
ANTIDIABETIC AGENTS
ANTIDIABETIC COMBINATIONS
ANTIEMETIC/ANTIVERTIGO AGENTS
ANTIFUNGAL
ANTIHYPERLIPIDEMIC AGENTS
ANTIHYPERTENSIVE COMBINATIONS
ANTIMALARIAL AGENTS
ANTIMETABOLITES
ANTIMIGRAINE AGENTS
ANTINEOPLASTIC HORMONES
ANTINEOPLASTICS
ANTISEPTIC
ANTIVIRAL AGENTS
ANUCORT-HC
ANUSOL-HC
APAP/CODEINE
APIXABAN
APIXABAN TAB
APRI
APRODINE
AQUAPHOR
ARAZLO
ARIPIPRAZOLE
ARISTADA
ARMOUR THYRO
ARNUITY ELPT
ARTHRTS PAIN
ARTIFI TEARS
ARTIFICIAL
ASHLYNA
ASPIR-81 TAB
ASPIR-LOW
ASPIRIN
ASPIRIN 81
ASPIRIN 81 TAB
ASPIRIN DR
ASPIRIN EC
ASPIRIN LOW
ASPIRIN TAB 325 MG
ASPIRIN TAB DELAYED RELEASE
ASPIRIN TAB DELAYED RELEASE 325 MG
ASPIRIN TAB DELAYED RELEASE 81 MG
ATENOLOL
ATOMOXETINE
ATORVASTATIN
ATORVASTATIN 40 MG TABLETS
ATORVASTATIN CALCIUM
ATORVASTATIN CALCIUM TAB
ATORVASTATIN TAB
ATYPICAL ANTIPSYCHOTICS
AUG BETAMET
AUGMENTIN
AUROVELA
AUROVELA 24
AUROVELA FE
AUVI-Q
AVAR CLEANSE
AVIANE
AYR SALINE
AZEL/FLUTIC
AZELAIC ACID
AZELASTINE
AZITHROMYCIN
AZITHROMYCIN TAB
AZOLE ANTIFUNGALS
B COMPLEX
B COMPLEX TAB
B-1
B-12
B-COMPLEX
B-COMPLEX TAB
BABY DDROPS
BAC
BACITRACIN
BACLOFEN
BACLOFEN TAB
BANDAGE ROLL
BANOPHEN
BANOPHEN CAP
BARBITURATE ANTICONVULSANTS
BASAGLAR
BAYER LOW
BD INSULIN SYRINGE
BD NEEDLES
BD PEN NEEDL
BD PLASTIPAK
BD POSIFLUSH
BD SWAB REG
BENAZEPRIL
BENAZEPRIL HCL
BENICAR
BENZODIAZEPINE ANTICONVULSANTS
BENZODIAZEPINES
BENZONATATE
BENZOYL PER
"BETA BLOCKERS, CARDIOSELECTIVE"
"BETA BLOCKERS, NON-CARDIOSELECTIVE"
BETAMET/MICON/MUPRIO
BETAMETH DIP
BETAMETH VAL
BETAMETHASONE DIPROPIONATE
BEYAZ
BIAFINE
BIOTIN
BISACODYL
BISACODYL TAB DELAYED RELEASE 5 MG
BISPHOSPHONATES
"BLEACH HQ4%, HC 2.5%, KA 1%, AA1%"
BLISOVI FE
BPM-PSE-DM
BREATHE RIGHT NASAL STRIP
BREO ELLIPTA
BRIMONIDINE
BRIMONIDINE SOL
BROM/PSE/DM
BRONCHODILATOR COMBINATIONS
BUDES/FORMOT
BUDESONIDE
BUPROPION
BUPROPION HCL ER 12HR
BUPROPION XL
BUPROPN HCL
BUSPIRONE
BUSPIRONE HCL
BUT/APAP/CAF
BYSTOLIC
C-1000 W/ROSEHIP
CA CIT/VIT D
CAL CARB VIT D W/MINERAL CHEW TAB 600 MG 800 UNIT
CALC ACETATE
CALC ANTACID
CALCITRIOL
CALCIUM
CALCIUM & PHOSPHORUS W/ VITAMIN D
CALCIUM 600
CALCIUM CARB
CALCIUM CARB TAB 1500 MG (600 MG ELEMENTAL CA)
CALCIUM CHANNEL BLOCKING AGENTS
CALCIUM D3
CALCIUM+D3
CALCIUM/D
CALCIUM/D3
CALCIUM/VITD
CALTRATE +D3
CANDY BAR
CAPCOF
CARB/LEVO
CARB/LEVO ER
CARBINOXAMIN
CARBONIC ANHYDRASE INHIBITORS
CARBOXYMETHY
CARBOXYMETHYLCELLULOSE
CARBOXYMETHYLCELLULOSE SODIUM OPHTH SOLN 0.5%
CARDIOVASCULAR AGENTS
CARTIA XT
CARVEDILOL
CARVEDILOL 12 MG TABLETS
CARVEDILOL 12.5 MG TABLETS
CARVEDILOL 6.25 MG
CATAPRES-TTS
CEFDINIR
CELEBREX
CELECOXIB
CENTRAL NERVOUS SYSTEM AGENTS
CENTRUM
CEPHALEXIN
CEPHALEXIN CAP
CERTAVITE
CETAKLENZ
CETIRIZ/PSE
CETIRIZINE
CETIRIZINE HCL
CETIRIZINE HCL TAB 10 MG
CHEST CONGES
CHLD SILAPAP
CHLORHEX GLU
CHLORHEXIDINE GLUCONATE
CHLORTHALID
CHLORTHALIDONE
CHOLECALCIFEROL
CHOLECALCIFEROL CAP 10 MCG (400 UNIT)
CHOLECALCIFEROL CAP 25 MCG (1000 UNIT)
CHOLECALCIFEROL CAP 50 MCG (2000 UNIT)
CHOLECALCIFEROL TAB 25 MCG (1000 UNIT)
CHOLINESTERASE INHIBITORS
CIALIS
CICLOPIROX
CIPRO (10%)
CIPRO (5%)
CIPROFLOXACIN
CIPROFLOXACN
CITALOPRAM
CITALOPRAM HBR
CITALOPRAM HBR TAB
CLARAVIS
CLARITIN-D
CLEARLAX
CLENPIQ
CLIMARA
CLINDAMY/BEN
CLINDAMYCIN
CLOBETASOL
CLOBETASOL E
CLONAZEP ODT
CLONAZEPAM
CLONIDINE
CLOPIDOGREL
CLOPIDOGREL TAB
CLOTRIM/BETA
CLOTRIMAZOLE
CNS STIMULANTS
CO Q 10
CO Q-10
COAGULATION MODIFIERS
COBAN LF WRP
CODEINE/GG
COENZYME Q10
COLCHICINE
COLCRYS
COMBIVENT
CONCERTA
CONSTULOSE
CONTOUR
CREON
CRESTOR
CROMOLYN SOD
CRYSELLE-28
CURITY GAUZE
CYANOCOBALAM
CYANOCOBALAMIN
CYANOCOBALAMIN TAB 500 MCG
CYANOCOBALAMIN TAB ER 1000 MCG
CYCLOBENZAPR
CYCLOBENZAPRINE
CYCLOBENZAPRINE HCL
CYMBALTA
CYPROHEPTAD
D-VI-SOL
D3
D3 SUPER STR
D3-1000
D3-50
DAILY VITE
DAILY-VITE
DAKINS
DAPSONE
DAYSEE
DEBLITANE
DEBROX
DEEP SEA
DEPAKOTE SPR
DEPLIN 15
DEPO-TESTOST
DERMATOLOGICAL AGENTS
DESLORATADIN
DESVENLAFAX
DETEMIR
DEXAMETHASON
DEXCOM G6
DEXMETHYLPH
DEXMETHYLPHE
DIALYVITE
DIALYVITE 800
DIAZEPAM
DIBENZAZEPINE ANTICONVULSANTS
DICLOFEN POT
DICLOFENAC
DICLOFENAC NA
DICLOFENAC SODIUM
DICYCLOMINE
DIFFERIN
DIGITEK
DIGOXIN
DILT-XR
DILTIAZEM
DILTIAZEM ER
DIOVAN HCT
DIPEPTIDYL PEPTIDASE 4 INHIBITORS
DIPHEN/ATROP
DIPHENHYDRAM
DIPHENHYDRAMINE
DIPHENHYDRAMINE CAP
DIPHENHYDRAMINE HCL LIQUID 12.5 MG/5ML
DIPHENHYDRAMINE HCL TAB 25 MG
DIPHENOXYLATE W/ ATROPINE
DIURETICS
