RXNAME
-15
24HR ALLERGY
5-ALPHA-REDUCTASE INHIBITORS
5-AMINOSALICYLATES
600+D3
7 DAY PILL BOX
8 HOUR PAIN
ABILIFY MAIN
ACCU-CHEK
ACE INHIBITORS WITH THIAZIDES
ACETAMIN
ACETAMINOPHE
ACETAMINOPHEN
ACETAMINOPHEN CAP
ACETAMINOPHEN SUSP 160 MG/5ML
ACETAMINOPHEN TAB 500 MG
ACETAMINOPHEN TAB ER 650 MG
ACETAMINOPHN
ACID GONE
ACIDOPHILUS
ACNE MEDICAT
ACTOS
ACYCLOVIR
ADALIMUMAB
ADAPAL/BEN P
ADAPALENE
ADDERALL TAB
ADDERALL XR
ADMELOG SOLO
ADRENAL CORTICAL STEROIDS
ADRENERGIC BRONCHODILATORS
ADVAIR DISKU
ADVAIR HFA
AERCHMBR Z-
AEROCHAMBER
AKLIEF
ALA-HIST IR
ALAHIST DM
ALAHIST PE
ALBUTEROL
ALBUTEROL SULFATE
ALBUTEROL SULFATE AER POW BA
ALBUTEROL SULFATE HFA
ALBUTEROL SULFATE INHAL AERO
ALBUTEROL SULFATE/ACTUATION
ALENDRONATE
ALL DAY ALLG
ALLEGRA-D
ALLERGY
ALLERGY RELF
ALLOPURINOL
ALMACONE DBL
ALOE VESTA
ALPHA LIPOIC ACID (THIOCTIC ACID) CAP 100 MG
ALPHA-ADRENORECEPTOR ANTAGONISTS
ALPHAGAN P
ALPRAZOLAM
ALTAVERA
AMEBICIDES
AMETHYST
AMIODARONE
AMITRIPTYLIN
AMLOD/BENAZP
AMLODIPINE
AMLODIPINE BESYLATE
AMLODIPINE BESYLATE TAB
AMLODIPINE TAB
AMMONIUM LAC
AMOX-POT CLA
AMOX/K CLAV
AMOXICILLIN
AMOXICILLIN & CLAVULANIC ACID
AMOXICILLIN (TRIHYDRATE)
AMPHET/DEXTR
AMPICILLIN
ANALGESICS
ANASTROZOLE
ANDRODERM
ANDROGEL
ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS
ANGIOTENSIN II INHIBITORS
ANGIOTENSIN II INHIBITORS WITH THIAZIDES
ANORO ELLIPT
ANORO ELLIPT AER 62.5-25
ANTI-INFECTIVES
"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
ANTICHOLINERGIC ANTIEMETICS
ANTICHOLINERGIC BRONCHODILATORS
ANTICHOLINERGICS/ANTISPASMODICS
ANTICOAGULANTS
ANTICONVULSANTS
ANTIDEPRESSANTS
ANTIDIABETIC AGENTS
ANTIDIABETIC COMBINATIONS
ANTIFUNGALS
ANTIHYPERLIPIDEMIC AGENTS
ANTIHYPERTENSIVE COMBINATIONS
ANTIMALARIAL AGENTS
ANTIMIGRAINE AGENTS
ANTINEOPLASTIC HORMONES
ANTINEOPLASTICS
ANTIOXIDANT
ANTIPARKINSON AGENTS
ANTIVIRAL AGENTS
ANTIVIRAL COMBINATIONS
ANUCORT-HC
APAP/CODEINE
APIXABAN
APIXABAN TAB
APLENZIN
APRODINE
AQUALANCE
AQUAPHOR
ARIPIPRAZOLE
ARISTADA
ARMOUR THYRO
ARNUITY ELPT
ARTHRITIS GLOVES
ARTHRTS PAIN
ARTIFI TEARS
ARTIFICIAL
ASHLYNA
ASPERCREME
ASPIR-LOW
ASPIRIN
ASPIRIN EC
ASPIRIN LOW
ASPIRIN TAB 325 MG
ASPIRIN TAB DELAYED RELEASE 81 MG
ASPIRIN TAB EC
ASPRIN EC
ATENOLOL
ATENOLOL TAB
ATOMOXETINE
ATORVASTATIN
ATORVASTATIN CALCIUM
ATORVASTATIN CALCIUM TAB
ATORVASTATIN CALCOUM
ATORVASTATIN TAB
ATYPICAL ANTIPSYCHOTICS
AUGMENTIN TAB
AUROVELA
AUROVELA 24
AUROVELA FE
AVIANE
AZEL/FLUTIC
AZELAIC 15% IVERMEC 1% METRO 1%
AZELAIC ACID
AZELASTINE
AZELASTINE HCL NASAL SPRAY 0.1% (
AZELEX
AZITHROMYCIN
AZOLE ANTIFUNGALS
AZURETTE
B COMPLEX
B-12
BACITRACIN
BACLOFEN
BANOPHEN
BARBITURATE ANTICONVULSANTS
BASAGLAR
BASAGLAR INJ 100UNIT
BD PEN NEEDL
BENADRYL ITC
BENAZEPRIL
BENZOCAINE DENTAL GEL 7.5%
BENZODIAZEPINE ANTICONVULSANTS
BENZODIAZEPINES
BENZONATATE
BENZONATATE CAP
BENZOYL PER
BEPOTASTINE
"BETA BLOCKERS, NON-CARDIOSELECTIVE"
BETA DIPROP
BETAMETH DIP
BETAMETH VAL
BETASEPT
BETIMOL
BI-EST (80:20) (E3:E2) 2.5 MG/ML
BI-EST (80:20) (E3:E2) 2.5MG/ML
BINAXNOW COV
BIOFREEZE
BISACODYL
BISOPROL FUM
BISPHOSPHONATES
BLISOVI FE
BREO ELLIPTA
"BRIEF,PROTECTION PLUS X-L"
BRILINTA
BRIMONIDINE
BROM/PSE/DM
BRONCHODILATOR COMBINATIONS
BUDES/FORMOT
BUDESONIDE
BUDESONIDE 0.6 MG
BUPROPION
BUPROPN HCL
BUSPIRONE
BUSPIRONE TAB
BUT/APAP/CAF
BYSTOLIC
C-T3 18MCG E4M
C-TESTOSTERONE 1MG/.1ML
CAL-GEST
CALC ACETATE
CALCITRIOL
CALCIUM
CALCIUM 600/
CALCIUM CARB CHOLECAL TAB 600 MG 10 MCG (400 UNIT)
CALCIUM CARB VIT D TAB 600 MG 10 MCG (400 UNIT)
CALCIUM CHANNEL BLOCKING AGENTS
CALCIUM CITR
CALCIUM+D3
CALCIUM/D
CALCIUM/D3
CAMBIA
CAMILA
CARAFATE
CARB/LEVO
CARBONIC ANHYDRASE INHIBITORS
CARBOXYMETHY
CARDIOVASCULAR AGENTS
CARTIA XT
CARVEDILOL
CARVEDILOL TAB
CATAPRES-TTS
CATHETER HOLDER
CD20 MONOCLONAL ANTIBODIES
CEFDINIR
CEFUROXIME
CELECOXIB
CELECOXIB CAP
CENTRAL NERVOUS SYSTEM AGENTS
CENTRATEX
CEPHALEXIN
CEQUA
CERAVE
"CERAVE CREAM,TOPICAL"
CEROVITE
CERTAVITE
CETIRIZ/PSE
CETIRIZINE
CETIRIZINE HCL TAB
CETIRIZINE HCL TAB 10 MG
CHEST CONGES
CHLORHEX GLU
CHLORTHALID
CHLORTHALIDONE TAB
CHOLECALCIFEROL
CHOLECALCIFEROL CAP 125 MCG (5000 UNIT)
CHOLECALCIFEROL CAP 25 MCG (1000 UNIT)
CHOLECALCIFEROL CAP 50 MCG (2000 UNIT)
CHOLECALCIFEROL TAB
CHOLECALCIFEROL TAB 25 MCG (1000 UNIT)
CHOLINERGIC AGONISTS
CHOLINESTERASE INHIBITORS
CIALIS
CICLOPIROX
CIPRO/DEXA
CIPRODEX
CIPROFLOXACIN
CIPROFLOXACN
CITALOPRAM
CL PRENATAL
CLEARLAX
CLENPIQ
CLIMARA
CLINDAMY/BEN
CLINDAMYCIN
CLOBETASOL
CLOBETASOL E
CLONAZEP ODT
CLONAZEPAM
CLONAZEPAM TAB
CLONIDINE
CLONIDINE HCL
CLOPIDOGREL
CLOPIDOGREL BISULFATE TAB
CLOTRIM/BETA
CNS STIMULANTS
COAGULATION MODIFIERS
CODEINE/GG
COENZYME Q-10
COENZYME Q10
COENZYME Q10 CAP 100 MG
COLCHICINE
COLCRYS
COMBIVENT
CONCERTA
CONSTULOSE
CONTOUR
CONTOUR NEXT
COUGH DM
CRANBERRY
CREON
CRESTOR
CROMOLYN SOD
CRYSELLE-28
CYANOCOBALAM
CYANOCOBALAMIN
CYANOCOBALAMIN INJ
CYCLOBENZAPR
CYCLOBENZAPRINE
CYCLOBENZAPRINE HCL TAB
CYCLOSPORINE
CYPROHEPTAD
CYTOMEL
D3
D3 SUPER STR
D3-50
DAILY-VITE
DAPSONE
DAYSEE
DAYTRANA
DEBLITANE
DEEP SEA
DENTA 5000
DEPLIN 15
DEPO-TESTOST
DERMAPHOR
DERMATOLOGICAL AGENTS
DESLORATADIN
DESVENLAFAX
DEXAMETHASON
DEXAMETHASONE
DEXCOM G6
DEXILANT
DEXLANSOPRAZ
DEXMETHYLPH
DEXMETHYLPHE
DEXTROMETHORPHAN GUAIFENESIN LIQUID 10 100 MG/5ML
DHEA 5MG
DIAZEPAM
DICLOFEN POT
DICLOFENAC
DICLOFENAC DR 50 MG TAB PACK
DICLOFENAC NA
DICLOFENAC SODIUM
DICLOFENAC SODIUM GEL 1%
DICYCLOMINE
DILT-XR
DILTIAZEM
DILTIAZEM ER
DILTIAZEM HCL
DIMAPHEN DM
DIPEPTIDYL PEPTIDASE 4 INHIBITORS
DIPHEN/ATROP
DIPHENHYDRAM
DIPHENHYDRAMINE HCL
DIURETICS
DIVALPROEX
DOCUSATE SOD
DOCUSATE SODIUM
DOCUSATE SODIUM CAP 100 MG
DODEX
DOK
DONEPEZIL
DOPAMINERGIC ANTIPARKINSONISM AGENTS
DORZOL/TIMOL
DORZOLAMIDE
DOTTI
DOXAZOSIN
DOXEPIN
DOXEPIN HCL
DOXYCYC MONO
DOXYCYCL HYC
DOXYCYCLINE
DROSPIR/ETHI
DROSPIRE/ETH
DROSPIRENONE
DULOXETINE
DULOXETINE DR CAP
EASY TOUCH
EC-NAPROXEN
ECOTRIN LOW
ECZEMA CREAM
ED A-HIST
EFFER-K
EFFEXOR XR
ELINEST
ELIQUIS
ELIQUIS ST P
ELIQUIS TAB
ELURYNG
EMPAGLIFLOZIN TAB
ENALAPRIL
ENDACOF-DM
ENDOCET
ENSKYCE
ENSURE CLEAR
ENSURE NUTRITION SHAKE CHOCOLATE
ENSURE PLUS
ENTERIC ASA
ENTRESTO
ENTRESTO TAB
EPIDUO FORTE
EPINEPHRINE
EPIPEN 2-PAK
EPSOLAY
ERGOCALCIFER
ERGOCALCIFEROL
ERGOCALCIFEROL CAP
ERGOCALCIFEROL CAP 50000 UNIT
ERRIN
ERY
ERY/BENZOYL
ERYTHROMYCIN
ESCITALOPRAM
ESOMEPRA MAG
ESOMEPRAZOLE
ESTARYLLA
ESTRAD VAL
ESTRADIOL
ESTRADIOL 6 MG/ML
ESTRADIOL 6MG/ML
ESTRADIOL VAGINAL 0.1MG/0.5ML
ESTRING
ESTRIOL 50/ ESTRADIOL 50 1MG/GM
ESTRIOL50/ESTRADIOL 50 1/MG/GM
ESTROGEL
ESTROGENS
ESTROVEN NGT CAP
ETHY ETH EST
ETODOLAC
ETONOGESTREL
EUTHYROX
EYE ITCH REL
EZETIMIBE
EZETIMIBE TAB
FALMINA
FAMOTIDINE
FARXIGA
FEMRING
FENOFIBRATE
FENOFIBRATE TAB
FEROSUL
FERREX 28
FERROUS SULF
FERROUS SULFATE
FERROUS SULFATE TAB 325 MG (65 MG ELEMENTAL FE)
FEXOFENADINE
FEXOFENADINE HCL TAB
FIASP FLEX
FIBER-CAPS TAB
FINACEA
FINASTERIDE
FINASTERIDE TAB
