RXNAME
-15
12HOUR NASAL
1ML TB SYRNG
3ML LL SYRNG
5-AMINOSALICYLATES
ABILIFY MAIN
ACCU-CHEK
ACE INHIBITORS WITH THIAZIDES
ACETAMIN
ACETAMIN TAB
ACETAMINOPHE
ACETAMINOPHEN
ACETAMINOPHEN TAB
ACETAMINOPHEN TAB 500 MG
ACETAMINOPHEN TAB ER 650 MG
ACETAMINOPHN
ACID REDUCER
ACIDOPHILUS
ACIDOPHILUS/
ACNE MEDICAT
ACYCLOVIR
ACZONE
ADAPALENE
ADDERALL XR
ADMELOG
ADMELOG SOLO
ADRENERGIC BRONCHODILATORS
ADVAIR DISKU
ADVAIR HFA
AERCHMBR Z-
AEROSOL MASK
AFLURIA QUAD
AIMOVIG
AIRS PEDIATR
ALBUTEROL
ALBUTEROL HFA
ALBUTEROL SULFATE
ALBUTEROL SULFATE INHAL AEROSOL
ALCOHOL
ALCOHOL PREP
ALDACTONE
ALENDRONATE
ALFUZOSIN
ALFUZOSIN 24 HR
ALFUZOSIN HCL
ALL DAY ALLG
ALLEGRA-D
ALLERGY
ALLERGY RELF
ALLOPURINOL
ALOGLIPTIN
ALPHAGAN P
ALPRAZOLAM
ALPRAZOLAM TAB 0.25
ALREX
ALTACE
ALVESCO
ALYACEN
AMEBICIDES
AMIODARONE
AMITRIPTYLIN
AMITRIPTYLINE HCL
AMLOD/BENAZP
AMLODIPINE
AMLODIPINE BESYLATE
AMLODIPINE TAB
AMLODIPINE-BENAZEPRIL
AMMONIUM LAC
AMNESTEEM
AMOX/K CLAV
AMOXAPINE
AMOXICILLIN
AMOXICILLIN & K CLAVULANATE TAB
AMOXICILLIN (TRIHYDRATE)
AMOXICILLIN POT CLAVUL
AMPHET/DEXTR
AMPHETAMINE
AMPICILLIN
ANALGESIC COMBINATIONS
ANASTROZOLE
ANDROGEL
ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS
ANGIOTENSIN II INHIBITORS
ANGIOTENSIN II INHIBITORS WITH THIAZIDES
ANORO ELLIPT
ANTACID PLUS
ANTI-DIARRHE
ANTI-INFECTIVES
"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
ANTIANGINAL AGENTS
ANTICHOLINERGIC ANTIEMETICS
ANTICHOLINERGICS/ANTISPASMODICS
ANTICONVULSANTS
ANTIDIABETIC AGENTS
ANTIDIABETIC COMBINATIONS
ANTIDOTES
ANTIEMETIC/ANTIVERTIGO AGENTS
ANTIFUNGAL
ANTIFUNGALS
ANTIGOUT AGENTS
ANTIHYPERLIPIDEMIC AGENTS
ANTIHYPERTENSIVE COMBINATIONS
ANTIMETABOLITES
ANTIMIGRAINE AGENTS
ANTINEOPLASTIC HORMONES
ANTINEOPLASTICS
ANTIVIRAL AGENTS
ANTIVIRAL COMBINATIONS
ANUCORT-HC
ANUSOL-HC
APAP/CODEINE
APLENZIN
APRI
APRISO
ARIPIPRAZOLE
ARIPIPRAZOLE TAB
ARMOUR THYRO
ARNUITY ELPT
ARTHRTS PAIN
ARTIFI TEARS
ARTIFICIAL
ARZOL SILVER MIS ARZO
ASHLYNA
ASMANEX 120
ASMANEX 30
ASMANEX 60
ASMANEX HFA
ASPERCREME
ASPIR-LOW
ASPIRIN
ASPIRIN 81
ASPIRIN CHEW TAB 81 MG
ASPIRIN EC
ASPIRIN LOW
ASPIRIN TAB 325 MG
ASPIRIN TAB DELAYED RELEASE 325 MG
ASPIRIN TAB DELAYED RELEASE 81 MG
ATENOLOL
ATOMOXETINE
ATORVASTATIN
ATORVASTATIN CALCIUM
ATORVASTATIN CALCIUM TAB
AUG BETAMET
AUROVELA
AUROVELA FE
AUTOSOFT 90
AVIANE
AVITA
AZEL/FLUTIC
AZELAIC ACID
AZELASTINE
AZITHROMYCIN
AZITHROMYCIN TAB
AZOLE ANTIFUNGALS
AZURETTE
B COMPLEX
B-1
B-12
B-COMPLEX
BABY DDROPS
BACITR ZINC
BACITRACIN
BACITRACIN OINT 500 UNIT/GM
BACLOFEN
"BANDAGE,ELASTIC 3IN X 5YD"
"BANDAGE,ELASTIC,ADHESIVE"
BANOPHEN
BARBITURATE ANTICONVULSANTS
BASAGLAR
BAYER LOW EC
BD NEEDLES
BD PEN NEEDL
BD POSIFLUSH 0.9%
BD SWAB REG
BELBUCA
BENADRYL 2% MAX-STRNTH
BENAZEPRIL
BENICAR HCT
BENZODIAZEPINE ANTICONVULSANTS
BENZONATATE
BENZOYL PER
BENZTROPINE
BETA BLOCKERS WITH THIAZIDES
BETAMETH DIP
BETAMETH VAL
BEYAZ
BIMATOPROST
BIOTIN
BISACODYL
BISACODYL TAB DELAYED RELEASE 5 MG
BISMATROL
BISOPRL/HCTZ
BISOPROL FUM
BISPHOSPHONATES
BLISOVI FE
BREATHE RIGHT NASAL STRIP
BREO ELLIPTA
BRILINTA
BRIMONIDINE
BROM/PSE/DM
BROM/PSE/DM SYP
BROMFENAC
BROMSITE
BRONCHODILATOR COMBINATIONS
BRONCHODILATORS
BUDES/FORMOT
BUDESONIDE
BUDESONIDE 0.6 MG
BUDESONIDE NASAL SUSP 32 MCG/ACT
BUDESONIDE-FORMOTEROL
BUMETANIDE
BUPRENORPHIN
BUPROPION
BUPROPION ER
BUPROPION HCL
BUPROPION HCL ER 24HR
BUPROPION SR
BUPROPN HCL
BUSPIRONE
BUSPIRONE2
BUT/APAP/CAF
BUTRANS
BYSTOLIC
C-1000 SR
C-1000/RH
C-500
CA CIT/VIT D
CAL-GEST
CALC ACETATE
CALCIPOTRIEN
CALCITRIOL
CALCIUM
CALCIUM + D3
CALCIUM CARB CHOLECALCIFEROL TAB 600 MG 800 UNIT
CALCIUM CARBONATE TAB 600 MG
CALCIUM CARBONATE VITAMIN D TAB 500 MG 200 UNIT
CALCIUM CIT VIT D TAB 250 MG 200 U (ELEMENTAL CA)
CALCIUM+D3
CALCIUM/D
CALCIUM/D3
CAMRESE
CARAFATE
CARB/LEVO
CARB/LEVO ER
CARBAMAZEPIN
CARBAMIDE PEROXIDE
CARBATROL
CARBONIC ANHYDRASE INHIBITORS
CARDIOVASCULAR AGENTS
CARTIA XT
CARVEDILOL
CARVEDILOL TAB
CATAPRES-TTS
"CATHETER,COUDE LOFRIC 14F"
CEFDINIR
CEFUROXIME
CELECOXIB
CELECOXIB CAP
CENTRAL NERVOUS SYSTEM AGENTS
CEPHALEXIN
CEQUA
CETIRIZ/PSE
CETIRIZINE
CETIRIZINE HCL TAB
CETIRIZINE HYDROCHLORIDE
CETIRIZINE ORAL SOLN
CETIRIZINE TAB
CGRP INHIBITORS
CHANTIX
CHILD ASA
CHILD SILFED
CHLD SILAPAP
CHLO TUSS
CHLORHEX GLU
CHLORHEXIDINE GLUCONATE
CHLORTHALID
CHLORTHALIDONE
CHOLECALCIFEROL
CHOLECALCIFEROL CAP 10 MCG (400 UNIT)
CHOLECALCIFEROL CAP 125 MCG (5000 UNIT)
CHOLECALCIFEROL CAP 25 MCG (1000 UNIT)
CHOLECALCIFEROL CAP 50 MCG (2000 UNIT)
CHOLECALCIFEROL TAB 125 MCG (5000 UNIT)
CHOLINESTERASE INHIBITORS
CIALIS
CICLOPIROX
CIPRO
CIPRO (5%)
CIPRO/DEXA
CIPRODEX
CIPROFLOXACIN
CIPROFLOXACIN HCL
CIPROFLOXACN
CITALOPRAM
CITALOPRAM HYDROBROMIDE
CITRUCEL
CLARAVIS
CLARITHROMYC
CLARITIN-D
CLEARLAX
CLENPIQ
CLIMARA
CLINDAMY/BEN
CLINDAMYCIN
CLOBET
CLOBETASOL
CLOBETASOL E
CLONAZEP ODT
CLONAZEPAM
CLONIDINE
CLONIDINE 24 HR
CLONIDINE HCL
CLOPIDOGREL
CLOTRIM/BETA
CLOTRIMAZOLE
CLOTRIMAZOLE W/ BETAMETHASONE
CNS STIMULANTS
CO Q-10
COAGULATION MODIFIERS
CODEINE PHOSPHATE/ACETAMINOPHEN
CODEINE PHOSPHATE/GUAIFENESIN
CODEINE SULF
CODEINE/GG
COENZYME Q10 CAP 100 MG
COENZYME Q10 CAP 200 MG
COLCHICINE
COLCRYS
COMBIGAN
COMBIVENT
COMPACT SPAC
CONCERTA
CONDYLOX
CONSTULOSE
CONTOUR
CORTEF
COTEMPLA
COUGH/CHEST
COUMADIN
CRAN CONC
CREON
CRESTOR
CROMOLYN SOD
CRYSELLE-28
CYANOCOBALAM
CYANOCOBALAMIN TAB 1000 MCG
CYANOCOBALAMIN TAB ER 1000 MCG
CYCLOBENZAPR
CYCLOBENZAPRINE
CYMBALTA
CYPROHEPTAD
CYTOMEL
D3
D3-1000
DAILY-VITE
DAPSONE
DEBLITANE
DEBROX
DECONEX DMX
DECONEX IR
DEEP SEA
DENTAGEL
DEPO-TESTOST
DERMATOLOGICAL AGENTS
DESCOVY
DESLORATADIN
DESONIDE
DESVENLAFAX
DETROL LA
DEXAMETHASON
DEXCOM G6
DEXILANT
DEXMETHYLPH
DEXMETHYLPHE
DEXTROAMPHETAMINE SACC/AMPHETAMINE ASPARTATE/AMPHE
DEXTROMETHORPHAN GUAIFENESIN TAB 20 400 MG
DIALYVITE
DIAZEPAM
DICLOFEN POT
DICLOFENAC
DICLOFENAC GEL
DICLOFENAC SODIUM
DICLOFENAC SODIUM CREAM 1%
DICYCLOMINE
DICYCLOMINE/LIDOC/MAALOX 1:1:6
DIFLUCAN
DIGOXIN
DILANTIN
DILT-XR
DILTIAZEM
DILTIAZEM ER
DIOVAN
DIOVAN HCT
DIPHEN/ATROP
DIPHENHIST
DIPHENHYDRAM
DIPHENHYDRAMINE HCL TAB 25 MG
DIURETICS
DIVALPROEX
