RXNAME
-15
12HOUR NASAL
5-AMINOSALICYLATES
600+D3
ABILIFY MAIN
ACCU-CHEK
ACE INHIBITORS WITH THIAZIDES
ACETAMIN
ACETAMIN CAP
ACETAMINOPHE
ACETAMINOPHEN
ACETAMINOPHEN SUSP 160 MG/5ML
ACETAMINOPHEN TAB 325 MG
ACETAMINOPHEN TAB 500 MG
ACETAMINOPHEN/CODEINE
ACETAMINOPHN
ACIDOPHILUS
ACIDOPHILUS/
ACYCLOVIR
ACYCLOVIR TAB
ADAPAL/BEN P
ADAPALENE
ADDERALL XR
ADMELOG
ADRENERGIC BRONCHODILATORS
ADVAIR DISKU
ADVAIR HFA
AERCHMBR Z-
AEROCHAMBER
AFRIN 12 HR
AGENTS FOR PULMONARY HYPERTENSION
AIRDUO DGHLR
ALBUTEROL
ALBUTEROL HFA
ALBUTEROL MDI
ALBUTEROL SUL 2.5MG/3ML
ALCOHOL PREP
ALCOHOL PREP PAD
ALENDRONATE
ALIGN
ALLEGRA-D
ALLERGY
ALLERGY RELF
ALLERGY RELI
ALLOPURINOL
ALOCANE BURN
ALPHA-ADRENORECEPTOR ANTAGONISTS
ALPHAGAN P
ALPRAZOLAM
ALTRENO
AMEBICIDES
AMETHYST
AMETHYST TAB
AMIODARONE
AMITRIPTYLIN
AMLOD/BENAZP
AMLODIPINE
AMLODIPINE BESYLATE
AMLODIPINE BESYLATE TAB
AMLODIPINE TAB
AMMONIUM LAC
AMOX-CLAV
AMOX/K CLAV
AMOXICILLIN
AMPHET SALT CMB
AMPHET SALT CMB ER
AMPHET/DEXAMPH ER 20
AMPHET/DEXTR
AMPHETAMINE ER TAB
AMPHETAMINE-DEXTROAMPHETAMINE CAP ER
AMPHETAMINE-DEXTROAMPHETAMINE ER
AMPHETAMINE-DEXTROAMPHETAMINE TAB
AMPHETAMINE/DEXTROAMPHETAMINE TAB ELIT
AMPICILLIN
ANALGESICS
ANASTROZOLE
ANDROGEL
ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS
ANGIOTENSIN II INHIBITORS
ANGIOTENSIN II INHIBITORS WITH THIAZIDES
ANTACID
ANTI-INFECTIVES
ANTI-ITCH
ANTIANGINAL AGENTS
ANTICHOLINERGIC ANTIEMETICS
ANTICHOLINERGIC BRONCHODILATORS
ANTICHOLINERGICS/ANTISPASMODICS
ANTICONVULSANTS
ANTIDIABETIC AGENTS
ANTIDOTES
ANTIEMETIC/ANTIVERTIGO AGENTS
ANTIFUNGAL
ANTIFUNGALS
ANTIHYPERLIPIDEMIC AGENTS
ANTIHYPERTENSIVE COMBINATIONS
ANTIMALARIAL AGENTS
ANTIMIGRAINE AGENTS
ANTINEOPLASTIC HORMONES
ANTINEOPLASTICS
ANTIVIRAL AGENTS
ANTIVIRAL COMBINATIONS
ANUCORT-HC
APAP/CODEINE
APIXABAN
APRI
APRISO
AQUAPHOR
ARIPIPRAZOLE
ARMOUR THYRO
ARNUITY ELPT
ARTHR PAIN
ARTHRTS PAIN
ARTIFI TEARS
ARTIFICIAL
ASCORBIC ACD
ASCORBIC ACID TAB 250 MG
ASHLYNA
ASPIRIN
ASPIRIN 81
ASPIRIN CHEW TAB 81 MG
ASPIRIN EFFER TAB 325 MG
ASPIRIN LOW
ASPIRIN LOW DOSE
ASPIRIN TAB DELAYED RELEASE 325 MG
ASPIRIN TAB DELAYED RELEASE 81 MG
ASTEPRO
ATENOLOL
ATOMOXETINE
ATORVASTATIN
ATORVASTATIN CA
ATORVASTATIN CALCIUM
ATORVASTATIN CALCIUM TAB
ATORVASTATIN TAB
ATYPICAL ANTIPSYCHOTICS
AUVI-Q
AVAPRO
AVIANE
AYR
AZEL/FLUTIC
AZELAIC ACID
AZELASTINE
AZITHROMYCIN
AZOLE ANTIFUNGALS
B-12
B-COMPLEX
B1
BACID
BACITRACIN
BACLOFEN
BANOPHEN
BARBITURATE ANTICONVULSANTS
BASAGLAR
BASAGLAR INJ 100UNIT
BASAGLAR KWK PEN
BD PEN NEEDL
BENAZEPRIL
BENAZEPRIL TAB
BENZODIAZEPINE ANTICONVULSANTS
BENZODIAZEPINES
BENZONATATE
BENZOYL PER
BEPOTASTINE
"BETA BLOCKERS, NON-CARDIOSELECTIVE"
BETA DIPROP
BETADINE
BETADINE SRG
BETAHISTINE
BETAMETH DIP
BETAMETH VAL
BISACODYL
BISMUTH
BISMUTH SUBSALICYLATE SUSP 262 MG/15ML
BISOPROL FUM
BISOPROLOL FUMARATE
BISPHOSPHONATES
BLISOVI
BLISOVI FE
BREO ELLIPTA
BREYNA
BRILINTA
BRIMONIDINE
BRIMONIDINE TARTRATE
BROM/PSE/DM
BRONCHODILATOR COMBINATIONS
BUDES/FORMOT
BUDESONIDE
BUMETANIDE
BUPROPION
BUPROPION HCL
BUPROPION HCL SR
BUPROPION HCL X
BUPROPION HCL XL
BUPROPION XL
BUPROPN HCL
BUPROPN HCL TAB
BUSPIRONE
BUSPIRONE TAB
BUT/APAP/CAF
BYSTOLIC
C PROGESTERONE 50MG SR
C-T3 18MCG E4M
CA CIT/VIT D
CALC ACETATE
CALC ANTACID
CALCITRIOL
CALCIUM
CALCIUM CARB
CALCIUM CARB TAB 1500 MG (600 MG ELEMENTAL CA)
CALCIUM CARB VIT D TAB 600 MG 10 MCG (400 UNIT)
CALCIUM/D
CALCIUM/D3
CAPMIST DM
CARB/LEVO
CARBAMAZEPIN
CARBIDOPA/LEVODOPA
CARBONIC ANHYDRASE INHIBITORS
CARDIOVASCULAR AGENTS
CARTIA XT
CARVEDILOL
CD20 MONOCLONAL ANTIBODIES
CEFDINIR
CEFUROXIME
CELECOIXB
CELECOXIB
CENTRAL NERVOUS SYSTEM AGENTS
CENTRUM SILV
CEPHALEXIN
CEPHALOSPORINS
CEQUA
CEROVITE
CERTAVITE
CETIRIZINE
CETIRIZINE HCL
CETIRIZINE HCL ORAL SOLN 1 MG/ML (5 MG/5ML)
CETIRIZINE HCL TAB 10 MG
CETIRIZINE PSEUDOEPHEDRINE TAB ER 12HR 5 120 MG
CGH/CHEST
CGRP INHIBITORS
CHEST CONGES
CHILDRENS
CHLORHEX GLU
CHLORTHALID
CHOLECALCIFEROL
CHOLECALCIFEROL CAP 125 MCG (5000 UNIT)
CHOLECALCIFEROL CAP 25 MCG (1000 UNIT)
CHOLECALCIFEROL CAP 50 MCG (2000 UNIT)
CHOLECALCIFEROL TAB 125 MCG (5000 UNIT)
CHOLECALCIFEROL TAB 50 MCG (2000 UNIT)
CHOLINERGIC AGONISTS
CHOLINESTERASE INHIBITORS
CICLOPIROX
CIPRO/DEXA
CIPRODEX
CIPROFLOXACIN
CIPROFLOXACIN HCL
CIPROFLOXACN
CITALOPRAM
CL PRENATAL
CLENPIQ
CLINDAMY/BEN
CLINDAMYCIN
CLOBETASOL
CLOBETASOL E
CLOBETASOL PROPIONATE SOLN 0.05%
CLONAZEP ODT
CLONAZEPAM
CLONAZEPAM TAB
CLONIDINE
CLOPIDOGREL
CLOPIDOGREL TAB
CLOTRIM/BETA
CLOTRIMAZOLE
CMP-PROGESTERONE SR
CNS STIMULANTS
COAGULATION MODIFIERS
CODEINE SULF
CODEINE/GG
COENZYME Q10
COLACE
COLCHICINE
COMBIVENT
COMPLETE SENIOR VIT MINERAL
COMPOUND W
COMPR/NEBUL
CONCERTA
CONSTULOSE
CONTOUR
CREON
CRESTOR
CROMOLYN SOD
CRYSELLE-28
CULTURELLE
CYANOCOBALAM
CYANOCOBALAMIN
CYCLOBENZAPR
CYCLOBENZAPR TAB
CYCLOBENZAPRINE HCL
CYCLOSPORINE
CYPROHEPTAD
D 1000
D-AMPHETAMINE ER
D-AMPHETAMINE ER CP
D-VITE PEDIA
D3
D3 SUPER STR
D3-50
DAILY-VITE
DASETTA
DAYTRANA
DECARA
DECONEX DMX
DEEP SEA
DEPO-ESTRADI
DEPO-TESTOST
DERMAPHOR
DERMATOLOGICAL AGENTS
DESCOVY
DESLORATADIN
DESVENLAFAX
DEXAMETHASON
DEXAMETHASONE
DEXCOM G6
DEXMETHYLPH
DEXMETHYLPHE
DEXTROAMP-AMPHET
DEXTROAMP-AMPHET ER
DEXTROAMP-AMPHETAMIN
DEXTROAMP-AMPHETAMINE
DEXTROAMP-AMPHETAMINE ER
DEXTROAMPHET-AMPHET ER
DHEA
DHS SAL
DIAZEPAM
DICLOFEN POT
DICLOFEN SOD OR
DICLOFENAC
DICLOFENAC ER
DICLOFENAC SOD GEL 1% (1.16% DIETHYLAMINE EQUIV)
DICLOFENAC SODIUM
DICYCLOMINE
DICYCLOMINE CAP
DICYCLOMINE HCL
DICYCLOMINE HCL CAP
DICYCLOMINE TAB
DILT-XR
DILTIAZEM
DILTIAZEM ER
DILTIAZEM EXTENDED RELEASE
DILTIAZEM HCL ER
DIMAPHEN DM
DIOVAN
DIPHEN/ATROP
DIPHENHYDRAM
DIPHENHYDRAMINE HCL LIQUID 12.5 MG/5ML
DIURETICS
DIVALPROEX
DOCUSATE
DOCUSATE CAP
DOCUSATE SOD
DOCUSATE SOD CAP
DOCUSATE SOD TAB
DOCUSATE SODIUM
DOCUSATE SODIUM CAP 250 MG
DODEX
DONEPEZIL
DONEPEZIL HYDROCHLORIDE
DOPAMINERGIC ANTIPARKINSONISM AGENTS
DORZOL/TIMOL
DORZOLAMIDE
DOTTI
DOXAZOSIN
DOXAZOSIN TAB
DOXEPIN
DOXEPIN HCL
DOXYCYC MONO
DOXYCYCL HYC
DOXYCYCLINE
DOXYCYCLINE HYCLATE
DOXYCYCLINE MONOHYDR
DOXYCYCLINE MONOHYDRATE
DROSPIR/ETHI
